OBJECTID,Jurisdiction,LG_Type,MPO,RTPA,Air District,Population,Jurisdiction URL,Regional Plan URL,Climate Action Plan URL,Energy Action Plan URL,Other Climate Plan URL,Municipal Inventory URL,Community Inventory URL,Baseline year,Latest Inventory Year,x,y
42,Santa Clara,County,Metropolitan Transportation Commission,MTC,BAAQMD,1868149,https://www.sccgov.org/sites/scc/Documents/home.html,http://www.baaqmd.gov/plans-and-climate/air-quality-plans/current-plans,https://www.sccgov.org/sites/osp/Documents/CAPOF_2009_09_29FINAL.pdf,,,https://www.sccgov.org/sites/osp/Documents/CAPOF_2009_09_29FINAL.pdf,http://www.baaqmd.gov/~/media/Files/Planning%20and%20Research/Emission%20Inventory/regionalinventory2007_2_10.ashx,2005,2005,,
43,Santa Cruz,County,Association of Monterey Bay Area Governments,SCCRTC,MBUAPCD,269278,http://www.co.santa-cruz.ca.us/,,http://www.sccoplanning.com/PlanningHome/SustainabilityPlanning/ClimateActionStrategy.aspx,,,http://www.sccoplanning.com/PlanningHome/SustainabilityPlanning/ClimateActionStrategy.aspx,http://sccounty01.co.santa-cruz.ca.us/bds/govstream/BDSvData/non_legacy/agendas/2012/20120124/PDF/042.pdf,2005,2009,,
44,Shasta,County,Shasta Regional Transportation Agency,SRTA,Shasta County AQMD,178942,http://www.co.shasta.ca.us/index.aspx,,https://www.co.shasta.ca.us/docs/libraries/resource-management-docs/rcap-draft/Chapter_2.pdf?sfvrsn=0,,,https://www.co.shasta.ca.us/docs/Resource_Management/rcap-draft/Chapter_2.pdf?sfvrsn=0,https://www.co.shasta.ca.us/docs/Resource_Management/rcap-draft/Chapter_2.pdf?sfvrsn=0,2008,2008,,
45,Sierra,County,,Sierra LTC,NSAQMD,3021,http://www.sierracounty.ca.gov/,,,http://www.sierracounty.ca.gov/DocumentCenter/View/2406,,,,2005,2005,,
46,Siskiyou,County,,Siskiyou LTC,Siskiyou County APCD,43895,https://www.co.siskiyou.ca.us/,,,,,,,,,,
47,Solano,County,Metropolitan Transportation Commission,MTC,"BAAQMD, YSAQMD",425753,http://www.co.solano.ca.us/,http://www.baaqmd.gov/plans-and-climate/air-quality-plans/current-plans,http://www.co.solano.ca.us/civicax/filebank/blobdload.aspx?blobid=10080,,,http://www.co.solano.ca.us/civicax/filebank/blobdload.aspx?blobid=10080,http://www.co.solano.ca.us/civicax/filebank/blobdload.aspx?blobid=10080,2005,2005,,
48,Sonoma,County,Metropolitan Transportation Commission,MTC,"BAAQMD, NSCAPCD",495078,http://sonomacounty.ca.gov/Home/,http://www.baaqmd.gov/plans-and-climate/air-quality-plans/current-plans,https://rcpa.ca.gov/wp-content/uploads/2016/07/CA2020_Plan_7-7-16_web.pdf,,,https://rcpa.ca.gov/wp-content/uploads/2016/07/CA2020_Plan_7-7-16_web.pdf,https://rcpa.ca.gov/wp-content/uploads/2016/07/CA2020_Plan_7-7-16_web.pdf,2010,2000,,
49,Stanislaus,County,Stanislaus Council of Governments,StanCOG,SJVAPCD,527367,http://www.stancounty.com/,http://www.valleyair.org/Programs/CCAP/CCAP_idx.htm,,,,http://www.stancounty.com/planning/pl/StanRST-Docs/County/STANISLAUS%20COUNTY%20GHG%20REPORT.pdf,http://www.stancounty.com/planning/pl/StanRST-Docs/County/STANISLAUS%20COUNTY%20GHG%20REPORT.pdf,2005,2005,,
50,Sutter,County,Sacramento Area Council of Governments,SACOG,FRAQMD,95247,https://www.co.sutter.ca.us/,,https://www.suttercounty.org/contents/pdf/cs/ps/Climate_Action_plan_.pdf,,,https://www.suttercounty.org/contents/pdf/cs/ps/Climate_Action_plan_.pdf,https://www.suttercounty.org/contents/pdf/cs/ps/Climate_Action_plan_.pdf,1990,2008,,
51,Tehama,County,,Tehama CTC,Tehama County APCD,63152,www.co.tehama.ca.us/,,https://www.co.tehama.ca.us/gov-departments/planning,,,http://www.tehcoapcd.net/PDF/Tehama%20County%20GHG%20Inventory.pdf,http://www.tehcoapcd.net/PDF/Tehama%20County%20GHG%20Inventory.pdf,2008,2008,,
52,Trinity,County,,Trinity CTC,NCUAQMD,13373,http://www.trinitycounty.org/,,,,,,,,,,
53,Tulare,County,Tulare County Association of Governments,TCAG,SJVAPCD,454033,http://www.tularecounty.ca.gov/county/,http://www.valleyair.org/Programs/CCAP/CCAP_idx.htm,http://generalplan.co.tulare.ca.us/documents/GeneralPlan2010/ClimateActionPlan.pdf,,,http://generalplan.co.tulare.ca.us/documents/GeneralPlan2010/ClimateActionPlan.pdf,http://generalplan.co.tulare.ca.us/documents/GeneralPlan2010/ClimateActionPlan.pdf,2007,2007,,
54,Tuolumne,County,,Tuolumne CTC,Tuolumne County APCD,54079,http://www.tuolumnecounty.ca.gov/index.aspx?NID=734,,http://www.tuolumnecountytransportationcouncil.org/single-post/2016/07/13/2016-Regional-Transportation-Plan-Update,,,,http://media.wix.com/ugd/fe950e_6fa366b85161406ab2acee5174c8b318.pdf,2010,2010,,
55,Ventura,County,Southern California Association of Governments,Ventura CTC,VAPCD,840833,http://www.ventura.org/,,,http://bosagenda.countyofventura.org/sirepub/cache/2/3hrxz4mugdalt4e0wkwwitya/6629310501201710132282.PDF,,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,2010,2012,,
56,Yolo,County,Sacramento Area Council of Governments,SACOG,YSAQMD,207320,http://www.yolocounty.org/,,http://www.yolocounty.org/community-services/planning-public-works/planning-division/climate-action-plan,,,,http://www.yolocounty.org/community-services/planning-public-works/planning-division/climate-action-plan,1990,1990,,
57,Yuba,County,Sacramento Area Council of Governments,SACOG,FRAQMD,73437,http://www.co.yuba.ca.us/,,,,,,http://www.yubavision2030.org/DEIR/Apdx%20C_GHG%20Modeling%20Data.pdf,2010,2010,,
58,Marin,County,Metropolitan Transportation Commission,MTC,BAAQMD,258349,http://www.marincounty.org/,http://www.baaqmd.gov/plans-and-climate/air-quality-plans/current-plans,https://www.marincounty.org/depts/cd/divisions/sustainability/climate-and-adaptation,,,https://www.marincounty.org/depts/cd/divisions/sustainability/climate-and-adaptation,https://www.marincounty.org/depts/cd/divisions/sustainability/climate-and-adaptation,1990,2012,,
59,Santa Barbara,County,Santa Barbara County Association of Governments,SBCAG,SBCAPCD,435850,https://www.countyofsb.org/,,http://www.countyofsb.org/csd/asset.c/173,,,http://www.countyofsb.org/csd/asset.c/173,http://www.countyofsb.org/csd/asset.c/173,2007,2007,,
60,Santa Barbara,County,Santa Barbara County Association of Governments,SBCAG,SBCAPCD,435850,https://www.countyofsb.org/,,http://www.countyofsb.org/csd/asset.c/173,,,http://www.countyofsb.org/csd/asset.c/173,http://www.countyofsb.org/csd/asset.c/173,2007,2007,,
61,Santa Barbara,County,Santa Barbara County Association of Governments,SBCAG,SBCAPCD,435850,https://www.countyofsb.org/,,http://www.countyofsb.org/csd/asset.c/173,,,http://www.countyofsb.org/csd/asset.c/173,http://www.countyofsb.org/csd/asset.c/173,2007,2007,,
62,Santa Barbara,County,Santa Barbara County Association of Governments,SBCAG,SBCAPCD,435850,https://www.countyofsb.org/,,http://www.countyofsb.org/csd/asset.c/173,,,http://www.countyofsb.org/csd/asset.c/173,http://www.countyofsb.org/csd/asset.c/173,2007,2007,,
63,Santa Barbara,County,Santa Barbara County Association of Governments,SBCAG,SBCAPCD,435850,https://www.countyofsb.org/,,http://www.countyofsb.org/csd/asset.c/173,,,http://www.countyofsb.org/csd/asset.c/173,http://www.countyofsb.org/csd/asset.c/173,2007,2007,,
64,Ventura,County,Southern California Association of Governments,Ventura CTC,VAPCD,840833,http://www.ventura.org/,,,http://bosagenda.countyofventura.org/sirepub/cache/2/3hrxz4mugdalt4e0wkwwitya/6629310501201710132282.PDF,,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,2010,2012,,
65,Ventura,County,Southern California Association of Governments,Ventura CTC,VAPCD,840833,http://www.ventura.org/,,,http://bosagenda.countyofventura.org/sirepub/cache/2/3hrxz4mugdalt4e0wkwwitya/6629310501201710132282.PDF,,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,2010,2012,,
66,Ventura,County,Southern California Association of Governments,Ventura CTC,VAPCD,840833,http://www.ventura.org/,,,http://bosagenda.countyofventura.org/sirepub/cache/2/3hrxz4mugdalt4e0wkwwitya/6629310501201710132282.PDF,,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,2010,2012,,
67,Ventura,County,Southern California Association of Governments,Ventura CTC,VAPCD,840833,http://www.ventura.org/,,,http://bosagenda.countyofventura.org/sirepub/cache/2/3hrxz4mugdalt4e0wkwwitya/6629310501201710132282.PDF,,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,https://vcenergy.org/wp-content/uploads/Climate_on_the_Move_Final.pdf,2010,2012,,
68,Los Angeles,County,Southern California Association of Governments,LACMTA,"SCAQMD, AVAQMD",10038388,https://www.lacounty.gov/,http://media.metro.net/projects_studies/sustainability/images/Climate_Action_Plan.pdf,http://file.lacounty.gov/SDSInter/bos/supdocs/92407.pdf,,,,http://www.energyatlas.ucla.edu/strategies/,2010,2010,,
69,Los Angeles,County,Southern California Association of Governments,LACMTA,"SCAQMD, AVAQMD",10038388,https://www.lacounty.gov/,http://media.metro.net/projects_studies/sustainability/images/Climate_Action_Plan.pdf,http://file.lacounty.gov/SDSInter/bos/supdocs/92407.pdf,,,,http://www.energyatlas.ucla.edu/strategies/,2010,2010,,
